name,miles_away,accepting_patients,in_catchment,gp_website,phone_number,gp_address
Athena Medical Centre,2.0,yes,no,http://www.athenamedicalcentre.co.uk,020 8985 6675,"21 Atherden Road, Clapton, London, Greater London, E5 0QP"
Kingsmead Healthcare,2.0,yes,no,https://www.kingsmeadhealthcare.co.uk/,020 8985 1930,"4 Kingsmead Way, London, Greater London, E9 5QG"
JS Medical Practice,1.9,yes,no,http://www.jsmedicalpractice.com,020 8808 1868,"104-108 Park Lane, London, Greater London, N17 0JP"
Fountayne Road Health Centre,1.8,yes,no,http://www.thegadhvipractice.nhs.uk/,020 3928 0777,"1A Fountayne Road, London, N16 7EA"
Charlton House Medical Centre,1.9,yes,no,http://www.charltonhousemedicalcentre.co.uk,020 8808 2837,"579C High Road, London, N17 6SB"
JS Medical Practice,2.1,yes,no,https://www.jsmedicalpractice.com,020 8808 7968,"107 Philip Lane, Tottenham, London, Greater London, N15 4JR"
The Nightingale Practice,2.1,yes,no,Not available,020 8985 8388,"10 Kenninghall Road, Clapton, London, Greater London, E5 8BY"
Chingway Medical Practice,1.9,yes,no,http://www.churchillmedical.nhs.uk/,020 8430 7020,"7 Ching Way, Chingford, London, Greater London, E4 8YD"
Spring Hill Practice - Oldhill Street,1.8,no,no,Not available,Not available,"19-21 Oldhill Street, London, Greater London, N16 6LD"
The Elm Practice,1.8,yes,no,http://www.elmpractice.nhs.uk/,020 3928 0999,"1A Fountayne Road, London, Greater London, N16 7EA"
Rosewood Practice,1.8,yes,no,http://www.rosewoodpractice.nhs.uk,020 3928 0555,"1A Fountayne Road, London, Greater London, N16 7EA"
Fernlea Surgery,1.8,yes,no,http://www.fernlea.nhs.uk/,020 8809 6445,"114 High Road, South Tottenham, London, Greater London, N15 6JR"
STAMFORD HILL GROUP PRACTICE,1.8,yes,no,https://www.stamfordhillgrouppractice.co.uk,020 8800 1000,"2 Egerton Road, Stamford Hill, London, Greater London, N16 6UA"
Francis Road Medical Centre,1.8,yes,no,https://www.francisroadgp.co.uk,020 8539 3131,"94 Francis Road, Leyton, London, Greater London, E10 6PP"
Bruce Grove Primary Health Care Ctr,1.8,yes,no,https://www.brucegrovephcc.nhs.uk/,020 8808 4710,"463 High Road, Tottenham, London, Greater London, N17 6QB"
Dowsett Road Surgery,1.7,yes,no,http://www.lawrencehousegroup.co.uk/,020 8808 4203,"57 Dowsett Road, Tottenham, London, Greater London, N17 9DL"
Dr S Phillips and Dr M Patel Practice,0.8,yes,no,http://www.seymourmedicalcentre.nhs.uk,020 8539 1221,"266 Lea Bridge Road, Leyton, London, Greater London, E10 7LD"
Leyton Healthcare 4Th Floor,1.7,yes,yes,http://www.leytonhealthcare.org.uk/,020 8430 8282,"4Th Floor, Oliver Road Medical Centre, 75 Oliver Road, London, Greater London, E10 5LG"
Queens Road Medical Centre,0.5,yes,no,https://www.queensroadmedicalcentre.co.uk,020 8520 2625,"48 Queens Road, Walthamstow, London, E17 8PX"
The Lyndhurst Surgery,1.3,yes,yes,http://www.thelyndhurstsurgery.co.uk,020 8539 1663,"53 Lyndhurst Drive, Leyton, London, Greater London, E10 6JB"
The Allum Medical Centre,1.7,yes,no,https://www.allumpractice.co.uk,020 8539 2513,"Fairlop Road, Leytonstone, London, Greater London, E11 1BN"
Aegis Medical Centre,21.5,yes,yes,Not available,01268 532795,"568 Whitmore Way, Basildon, Essex, SS14 2ER"
Kings College Health Centre,6.0,yes,yes,http://www.kclnhshealthcentre.com,020 4548 9842,"3Rd Floor, Bush House, South East Wing, 300 Strand, London, WC2B 4PJ"
The Manor Practice,0.8,yes,yes,https://www.themanorpracticeleyton.co.uk,020 8539 8950,"454 Lea Bridge Road, Leyton, London, Greater London, E10 7DY"
The Ecclesbourne Practice,1.3,yes,yes,http://www.ecclesbourneandrodingvalley.nhs.uk/,020 8539 2077,"Ecclesbourne, 1 Warwick Terrace, Lea Bridge Road, Leyton, London, Greater London, E17 9DP"
Sma Medical Practice,1.2,yes,yes,http://smamedicalcentre.com/,020 8539 2078,"693 High Road Leyton, Leyton, London, Greater London, E10 6RA"
Grove Surgery,0.9,yes,yes,http://www.grovemedicalcentre.com/,0333 332 2221,"103-105 Grove Road, Walthamstow, London, Greater London, E17 9BU"
Dr Shantir Practice,0.7,yes,yes,http://www.drshantirpractice.co.uk,020 8520 7115,"354-358 Forest Road, Walthamstow, London, Greater London, E17 5JL"
The Firs,0.2,yes,yes,https://www.thefirs.org.uk,020 8223 9840,"26 Stephenson Road, Walthamstow, London, Greater London, E17 7JT"
